State_Name,District_Name,Court_Efficiency_Index_PCA,Total_Population,Pending cases,Cases_per_Capita,Judicial_Efficiency_Index_per_Capita
HARYANA,KARNAL,0.887635434,1505324,73135,0.04858422505719699,0.04312507969419873
HARYANA,SIRSA,0.777372445,1295189,41227,0.031830875648264464,0.024744445629182307
HARYANA,AMBALA,0.774442135,1128350,63984,0.056705809367660745,0.04391536807359419
HARYANA,BHIWANI,0.803324851,1634445,65710,0.040203249421057304,0.03229626935088669
HARYANA,FARIDABAD,0.761611914,1809733,123392,0.0681824335413014,0.05192855371056835
HARYANA,HISAR,0.813595356,1743931,74075,0.04247587777268711,0.034558176897881855
HARYANA,JHAJJAR,0.756053971,958405,42127,0.04395532160203672,0.03323259544380194
HARYANA,JIND,0.786611521,1334152,37605,0.028186443523676462,0.022171781211739742
HARYANA,KURUKSHETRA,0.813929347,964655,43767,0.04537062473112149,0.036928482960383764
HARYANA,ROHTAK,0.795333306,1061204,54647,0.05149528271661245,0.04095591344640804
HARYANA,SONIPAT,0.757093273,1450001,64559,0.04452341757005685,0.03370837993326005
HARYANA,PANCHKULA,0.792325104,561293,28529,0.05082728628363439,0.04027173489071839
HARYANA,FATEHABAD,0.910629298,942011,28591,0.030351025624966162,0.02763853315844295
HARYANA,KAITHAL,0.826555718,1074304,39959,0.03719524454902895,0.03074394206440821
HARYANA,REWARI,0.768335063,900332,51803,0.05753766388398946,0.04420820460517787
HARYANA,PANIPAT,0.822213227,1205437,56144,0.04657564020351126,0.038295107431319926
HARYANA,YAMUNANAGAR,0.813106167,1214205,60260,0.04962918123381142,0.040353793324372736
MIZORAM,AIZAWL,0.836078903,400309,4566,0.011406188719214406,0.009536473751771756
MIZORAM,LUNGLEI,0.929688614,161428,459,0.0028433728968952103,0.002643451407599673
MIZORAM,CHAMPHAI,0.940324064,125745,379,0.0030140363433933757,0.002834170903463359
PUNJAB,LUDHIANA,0.815661119,3498739,142056,0.040602056912504764,0.03311751917495532
PUNJAB,JALANDHAR,0.90236152,2193590,74711,0.034058780355490315,0.03073333281092638
PUNJAB,RUPNAGAR,0.841914663,684627,23952,0.03498547384196066,0.02945478341954962
PUNJAB,FATEHGARH SAHIB,0.830627982,600163,18947,0.03156975688271353,0.02622272345171895
PUNJAB,PATIALA,0.801864417,1895686,73772,0.038915727604677146,0.031205137227855246
PUNJAB,FIROZPUR,0.84647755,2029074,26310,0.01296650590367823,0.010975856149406084
PUNJAB,FARIDKOT,0.863148038,617508,16478,0.026684674530532398,0.02303282446569761
PUNJAB,GURDASPUR,0.868572856,2298323,35328,0.015371207615291671,0.013351013698582836
PUNJAB,MOGA,0.863163583,995746,20466,0.020553434309552837,0.017740976001588755
PUNJAB,MANSA,0.85281517,769751,19307,0.02508213695078019,0.021390426887642887
PUNJAB,BARNALA,0.856490629,595527,14914,0.02504336495238671,0.021449407400346246
PUNJAB,BATHINDA,0.844026876,1388525,49085,0.0353504618209971,0.029836739855933457
PUNJAB,HOSHIARPUR,0.851924647,1586625,38897,0.02451555975734657,0.020885409592284885
PUNJAB,SANGRUR,0.830438305,1655169,51152,0.030904397073652296,0.025664195122890775
PUNJAB,TARN TARAN,0.789698031,1119627,22503,0.02009865785658974,0.0158718705350916
SIKKIM,SOUTH DISTRICT,0.885676554,146850,409,0.0027851549199863807,0.0024667464118896835
SIKKIM,WEST DISTRICT,0.939597811,136435,110,0.0008062447319236266,0.0007575457852457214
SIKKIM,EAST DISTRICT,0.90832864,283583,1094,0.0038577770881893484,0.003504129415938191
MANIPUR,IMPHAL EAST,0.754781336,456113,2684,0.00588450669022808,0.004441515821351288
MANIPUR,IMPHAL WEST,0.710715237,517992,6706,0.012946145886422957,0.009201023141905667
MANIPUR,BISHNUPUR,0.714161797,237399,1090,0.004591426248636262,0.003279021220519042
MANIPUR,THOUBAL,0.773991337,422168,1452,0.00343938905838434,0.0026620573357620664
MANIPUR,SENAPATI,0.829016249,479148,395,0.0008243799410620518,0.0006834243664901033
MANIPUR,CHURACHANDPUR,0.826862306,274143,135,0.0004924437246254692,0.0004071831537190444
MANIPUR,UKHRUL,0.727804831,183998,131,0.0007119642604810921,0.0005181710282774813
MANIPUR,CHANDEL,0.905213827,144182,99,0.0006866321732255067,0.0006215489372667878
BIHAR,PATNA,0.441031238,5838465,458624,0.07855215369108147,0.03464395358994393
BIHAR,SAMASTIPUR,0.43136475,4261566,120552,0.028288192650307423,0.0122025291505517
BIHAR,SARAN,0.410208436,3951862,167672,0.042428607071805645,0.017404572548583935
BIHAR,KATIHAR,0.416833208,3071029,74680,0.024317582152431644,0.010136375779401628
BIHAR,BEGUSARAI,0.423949001,2970541,95423,0.03212310484857809,0.013618558209572936
BIHAR,BANKA,0.487070034,2034763,52945,0.026020229382979737,0.012673674010255738
BIHAR,PURNIA,0.455847681,3264619,78944,0.02418168858295562,0.011023166663204496
BIHAR,MUNGER,0.44463933,1367765,58061,0.04244954359849828,0.018874736624442064
BIHAR,MADHEPURA,0.468342823,2001762,54239,0.027095628751070307,0.012690043260236232
BIHAR,ROHTAS,0.506163388,2959918,103903,0.03510333732218257,0.01776802414910278
BIHAR,KHAGARIA,0.503785536,1666886,51295,0.030772950279743187,0.015502967250981771
BIHAR,JAMUI,0.58584428,1760405,53213,0.030227703284187446,0.01770872706657843
BIHAR,AURANGABAD,0.532123351,2540073,63354,0.02494180285369751,0.01327211571449088
BIHAR,DARBHANGA,0.448739392,3937385,97953,0.02487767896713174,0.011163594534081885
BIHAR,MADHUBANI,0.435989131,4487379,102346,0.022807523055217757,0.009943832157106855
BIHAR,LAKHISARAI,0.418802741,1000912,36179,0.036146034816247584,0.015138058457325918
BIHAR,SHEIKHPURA,0.543086527,636342,18128,0.028487825728931927,0.015471354336906884
BIHAR,SAHARSA,0.503581778,1900661,65369,0.03439277177781835,0.017319573162221984
BIHAR,SUPAUL,0.558237567,2229076,58930,0.026436963118350382,0.014758105970056652
BIHAR,GOPALGANJ,0.449602318,2562012,99235,0.0387332299770649,0.017414549981315468
BIHAR,ARARIA,0.472100003,2811569,77827,0.027680985243470818,0.013068193216485528
BIHAR,KISHANGANJ,0.480761468,1690400,26588,0.01572882158069096,0.007561811353043067
BIHAR,BUXAR,0.500867861,1706352,65027,0.038108784119572046,0.01908746518728082
BIHAR,NAWADA,0.480920904,2219146,84482,0.03806959974692967,0.01830846632521159
BIHAR,SIWAN,0.398960044,3330464,106638,0.032018961922422824,0.012774286457404135
BIHAR,NALANDA,0.450949105,2877653,122969,0.04273239337751981,0.019270134548100486
BIHAR,SITAMARHI,0.49525404,3423574,82951,0.024229357975028436,0.011999687423739053
BIHAR,BHOJPUR,0.473250577,2728407,120819,0.044281883164791765,0.02095642675838429
BIHAR,BHAGALPUR,0.500007903,3037766,98731,0.03250118672735161,0.01625085022055451
BIHAR,GAYA,0.421129902,4391418,148205,0.033748780006822396,0.014212620416892675
